browser position chr13:83460331-84854696
track type=interact name="MB2_promoter_interaction" description="MB2_promoter_interaction"  maxHeightPixels=200:100:50 visibility=full
#chrom chromStart chromEnd name score value exp color bait_chr bait_start bait_end bait_name bait_strand otherEnd_chr otherEnd_start otherEnd_end otherEnd_name otherEnd_strand
chr10	120472800	120554521	mm569	51	5.14	.	#3C4AD7	chr10	120551464	120554521	mm569	.	chr10	120472800	120479001	Hmga2	.
chr10	17227740	17728001	hs1644	132	13.26	.	#E843E3	chr10	17227740	17232978	hs1644	.	chr10	17721200	17728001	Cited2	.
chr10	20148200	21084306	hs1351	56	5.65	.	#38A191	chr10	21082040	21084306	hs1351	.	chr10	20148200	20206001	Map7	.
chr10	30838400	31230987	mm762	51	5.13	.	#90D90A	chr10	31225786	31230987	mm762	.	chr10	30838400	30844801	Hey2	.
chr10	36973600	38557244	hs1302	88	8.83	.	#40ACE4	chr10	38551265	38557244	hs1302	.	chr10	36973600	36976601	Hdac2	.
chr10	37134200	38557244	hs1302	177	17.78	.	#40ACE4	chr10	38551265	38557244	hs1302	.	chr10	37134200	37142001	Marcks,5930403N24Rik	.
chr10	50895000	51260404	hs576	238	23.85	.	#7FEEB6	chr10	51257318	51260404	hs576	.	chr10	50895000	50903401	Sim1	.
chr10	52740527	53599401	mm782	54	5.41	.	#1A358E	chr10	52740527	52745181	mm782	.	chr10	53595800	53599401	Mcm9,Asf1a	.
chr10	52416600	53326169	hs2188	62	6.27	.	#B31382	chr10	53322697	53326169	hs2188	.	chr10	52416600	52419601	Nus1	.
chr10	87057800	87295054	hs1723	66	6.63	.	#720A77	chr10	87292443	87295054	hs1723	.	chr10	87057800	87230601	1700113H08Rik	.
chr10	87292443	87495001	hs1723	71	7.12	.	#720A77	chr10	87292443	87295054	hs1723	.	chr10	87488400	87495001	Ascl1	.
chr10	86972200	87327733	hs1575	54	5.44	.	#130928	chr10	87323568	87327733	hs1575	.	chr10	86972200	87008201	Gm16271,Stab2	.
chr10	87057800	87327733	hs1575	55	5.53	.	#130928	chr10	87323568	87327733	hs1575	.	chr10	87057800	87230601	1700113H08Rik	.
chr10	87323568	87495001	hs1575	58	5.86	.	#130928	chr10	87323568	87327733	hs1575	.	chr10	87488400	87495001	Ascl1	.
chr10	87057800	87450481	hs998	56	5.6	.	#65AF88	chr10	87444192	87450481	hs998	.	chr10	87057800	87230601	1700113H08Rik	.
chr10	87057800	87475218	hs1114	81	8.18	.	#AF4576	chr10	87472324	87475218	hs1114	.	chr10	87057800	87230601	1700113H08Rik	.
chr10	86972200	87502911	hs1122	81	8.12	.	#4672EE	chr10	87499428	87502911	hs1122	.	chr10	86972200	87008201	Gm16271,Stab2	.
chr10	87057800	87502911	hs1122	111	11.15	.	#4672EE	chr10	87499428	87502911	hs1122	.	chr10	87057800	87230601	1700113H08Rik	.
chr10	92159600	92558346	hs1341	87	8.71	.	#3BDC6F	chr10	92555016	92558346	hs1341	.	chr10	92159600	92166001	Rmst	.
chr11	111562103	113202201	mm627	63	6.34	.	#7D361E	chr11	111562103	111564814	mm627	.	chr11	113172000	113202201	2610035D17Rik	.
chr11	113306987	113648401	mm1526	63	6.31	.	#BEF383	chr11	113306987	113311034	mm1526	.	chr11	113564800	113648401	Slc39a11	.
chr11	113708401	113789034	mm1462	69	6.9	.	#384CCE	chr11	113781242	113789034	mm1462	.	chr11	113708401	113709201	Cpsf4l	.
chr11	113747000	113789034	mm1462	60	6	.	#384CCE	chr11	113781242	113789034	mm1462	.	chr11	113747000	113752801	Cdc42ep4	.
chr11	113811800	114338843	mm998	53	5.33	.	#0147EA	chr11	114334988	114338843	mm998	.	chr11	113811800	114067801	Sdk2	.
chr11	117864350	118249601	mm780	51	5.18	.	#F2FC26	chr11	117864350	117868009	mm780	.	chr11	118200800	118249601	Cyth1	.
chr11	11821600	11898201	hs2059	53	5.34	.	#8B3CC4	chr11	11832428	11838742	hs2059	.	chr11	11821600	11898201	Ddc	.
chr11	11832428	11868601	hs2059	53	5.34	.	#8B3CC4	chr11	11832428	11838742	hs2059	.	chr11	11867800	11868601	Ddc,1700042O10Rik	.
chr11	11832428	12038801	hs2059	51	5.18	.	#8B3CC4	chr11	11832428	11838742	hs2059	.	chr11	12024800	12038801	Grb10	.
chr11	11832428	12465401	hs2059	56	5.62	.	#8B3CC4	chr11	11832428	11838742	hs2059	.	chr11	12463600	12465401	Cobl	.
chr11	11821600	11959821	mm154	56	5.63	.	#74BA32	chr11	11955729	11959821	mm154	.	chr11	11821600	11898201	Ddc	.
chr11	120085400	120318412	mm1481	75	7.54	.	#78EBDB	chr11	120313836	120318412	mm1481	.	chr11	120085400	120087601	Cep131	.
chr11	120097600	120318412	mm1481	77	7.71	.	#78EBDB	chr11	120313836	120318412	mm1481	.	chr11	120097600	120100001	Ndufaf8,Tepsin	.
chr11	120149600	120318412	mm1481	77	7.74	.	#78EBDB	chr11	120313836	120318412	mm1481	.	chr11	120149600	120152201	Gm11769,Slc38a10	.
chr11	120183200	120318412	mm1481	56	5.66	.	#78EBDB	chr11	120313836	120318412	mm1481	.	chr11	120183200	120191001	2810410L24Rik	.
chr11	120227200	120318412	mm1481	58	5.89	.	#78EBDB	chr11	120313836	120318412	mm1481	.	chr11	120227200	120243801	2900052L18Rik,Gm11772,Bahcc1	.
chr11	120313836	120351601	mm1481	55	5.58	.	#78EBDB	chr11	120313836	120318412	mm1481	.	chr11	120344400	120351601	Actg1,Gm23419,Mir6935,0610009L18Rik	.
chr1	118776993	119055001	hs522	63	6.33	.	#916FDE	chr1	118776993	118778185	hs522	.	chr1	118981200	119055001	Gli2	.
chr11	17256800	18919214	hs1210	61	6.12	.	#A484E4	chr11	18913285	18919214	hs1210	.	chr11	17256800	17258801	C1d	.
chr11	21999843	22288401	hs1066	55	5.54	.	#EC5840	chr11	21999843	22004566	hs1066	.	chr11	22170001	22288401	Ehbp1	.
chr11	21994600	22080416	hs690	50	5.06	.	#683EF9	chr11	22077389	22080416	hs690	.	chr11	21994600	22004401	Otx1	.
chr11	24073400	24711609	hs396	61	6.16	.	#F2E76B	chr11	24708119	24711609	hs396	.	chr11	24073400	24087201	Gm12063,A830031A19Rik,Bcl11a	.
chr11	24088000	24711609	hs396	50	5.05	.	#F2E76B	chr11	24708119	24711609	hs396	.	chr11	24088000	24090401	Bcl11a	.
chr11	24073400	25358889	hs1119	79	7.96	.	#53BB9B	chr11	25356125	25358889	hs1119	.	chr11	24073400	24087201	Gm12063,A830031A19Rik,Bcl11a	.
chr11	24088000	25358889	hs1119	79	7.96	.	#53BB9B	chr11	25356125	25358889	hs1119	.	chr11	24088000	24090401	Bcl11a	.
chr1	132138000	132334827	mm505	51	5.15	.	#3BDD58	chr1	132331334	132334827	mm505	.	chr1	132138000	132140001	Gm29629,Cdk18	.
chr1	132189600	132334827	mm505	51	5.15	.	#3BDD58	chr1	132331334	132334827	mm505	.	chr1	132189600	132202001	Gm29695,Lemd1	.
chr1	132315800	132334827	mm505	59	5.99	.	#3BDD58	chr1	132331334	132334827	mm505	.	chr1	132315800	132323801	Nuak2	.
chr1	133163800	133247801	mm971	74	7.48	.	#4FA8E9	chr1	133180144	133184401	mm971	.	chr1	133163800	133247801	Plekha6	.
chr1	133180144	133310801	mm971	104	10.45	.	#4FA8E9	chr1	133180144	133184401	mm971	.	chr1	133309600	133310801	Golt1a,Gm28040,Gm28040	.
chr1	133180144	133365801	mm971	65	6.55	.	#4FA8E9	chr1	133180144	133184401	mm971	.	chr1	133363000	133365801	Etnk2	.
chr1	133180144	133610801	mm971	69	6.97	.	#4FA8E9	chr1	133180144	133184401	mm971	.	chr1	133608800	133610801	Snrpe	.
chr1	133180144	133662001	mm971	55	5.57	.	#4FA8E9	chr1	133180144	133184401	mm971	.	chr1	133659600	133662001	Zc3h11a,Zc3h11a,Gm38394	.
chr1	133163800	133247801	mm1460	54	5.4	.	#53918C	chr1	133185545	133189356	mm1460	.	chr1	133163800	133247801	Plekha6	.
chr1	133185545	133365801	mm1460	57	5.75	.	#53918C	chr1	133185545	133189356	mm1460	.	chr1	133363000	133365801	Etnk2	.
chr1	133385800	133494389	mm573	102	10.26	.	#365E04	chr1	133491544	133494389	mm573	.	chr1	133385800	133424801	Sox13	.
chr1	138498807	138620601	hs1322	62	6.29	.	#5D46B2	chr1	138498807	138503029	hs1322	.	chr1	138571800	138620601	Nek7	.
chr1	138498807	138848601	hs1322	53	5.37	.	#5D46B2	chr1	138498807	138503029	hs1322	.	chr1	138835200	138848601	Lhx9	.
chr11	44616400	44802499	hs230	55	5.59	.	#09964A	chr11	44799055	44802499	hs230	.	chr11	44616400	44623001	Gm37695,Ebf1	.
chr11	44616400	45551904	hs1130	68	6.89	.	#02751B	chr11	45549149	45551904	hs1130	.	chr11	44616400	44623001	Gm37695,Ebf1	.
chr11	46055400	46204043	mm102	84	8.49	.	#3A452C	chr11	46201585	46204043	mm102	.	chr11	46055400	46058801	Adam19	.
chr1	155037654	155245601	hs1862	72	7.29	.	#A9C73B	chr1	155037654	155040944	hs1862	.	chr1	155224000	155245601	BC034090	.
